n_families,s_min,s_max,e_min,e_max,bbox_area,mean_nearest_neighbor_distance,mean_pairwise_distance,density,perm
21,4,37,10,46,1258,4.271201506938968,17.169096991698456,0.016693163751987282,72
21,0,37,1,48,1824,4.561764963216456,22.444462516348203,0.011513157894736841,73
21,1,31,22,51,930,3.32295420551034,16.339443316722303,0.02258064516129032,74
21,2,34,5,48,1452,4.803098755653145,20.76581536695511,0.014462809917355372,75
21,1,33,7,50,1452,4.046870544962965,17.61416127718078,0.014462809917355372,76
21,2,32,5,50,1426,5.11031521908461,19.143450913349795,0.014726507713884993,77
21,0,38,12,46,1365,5.010660149161439,18.795384046982026,0.015384615384615385,78
21,0,35,0,51,1872,5.27130986629027,22.08992233582049,0.011217948717948718,79
21,4,32,9,47,1131,3.0888037914439175,16.012743772169006,0.01856763925729443,80
21,1,34,13,51,1326,4.298131109394106,17.601032635223284,0.01583710407239819,81
21,2,34,13,47,1155,3.664732982528533,19.62386384597539,0.01818181818181818,82
21,3,36,9,51,1462,4.053207436831284,18.900229868143466,0.014363885088919288,83
21,0,33,13,50,1292,4.505279285038693,18.424235051001872,0.016253869969040248,84
21,1,36,6,52,1692,4.873121731310441,18.6044247392307,0.012411347517730497,85
21,1,38,13,42,1140,4.552806609303048,17.495785545282548,0.018421052631578946,86
21,1,36,5,51,1692,4.420144577047442,19.598178150333126,0.012411347517730497,87
21,6,32,9,45,999,4.212549845476433,18.14660242208336,0.021021021021021023,88
21,0,36,5,47,1591,4.682906921908127,18.754175422725773,0.013199245757385292,89
21,0,34,0,52,1855,5.584014773526464,18.81919193708996,0.011320754716981131,90
21,1,34,13,50,1292,3.8572994664277807,17.212969149437182,0.016253869969040248,91
21,1,30,15,48,1020,3.340182466970823,16.916377206373777,0.020588235294117647,92
21,1,35,10,51,1470,4.587427938394676,20.6904077643113,0.014285714285714285,93
21,2,38,9,48,1480,4.091038969630939,19.132283904454937,0.01418918918918919,94
21,6,35,14,42,870,3.876990933055088,15.966593394024331,0.02413793103448276,95
21,0,37,13,46,1292,4.442694611783817,17.27078081427638,0.016253869969040248,96
21,0,36,9,49,1517,3.9014736783686765,18.929606919725693,0.013843111404087014,97
21,0,39,13,48,1440,4.197307988958222,19.76635907648293,0.014583333333333334,98
21,4,37,15,50,1224,4.929521692155961,15.317359567693915,0.01715686274509804,99
21,4,35,16,52,1184,4.354421332627554,17.468263161124376,0.017736486486486486,100
21,3,31,11,48,1102,4.064163181304789,17.09005308363163,0.019056261343012703,101
21,1,28,12,49,1064,3.7249473469314553,16.636110839763496,0.019736842105263157,102
21,4,38,4,49,1610,3.949410419110189,17.65316557859312,0.013043478260869565,103
21,6,37,6,51,1472,4.689376817172331,18.865653204002463,0.014266304347826086,104
21,3,36,23,49,918,3.6372023557606346,18.70230930230924,0.02287581699346405,105
21,1,35,0,50,1785,4.476572118104618,22.52475428785322,0.011764705882352941,106
21,4,36,6,51,1518,5.319644678054025,17.31051665291271,0.01383399209486166,107
21,0,36,3,52,1850,4.565500022340102,19.342632701265316,0.011351351351351352,108
21,0,31,4,50,1504,3.7164456697012334,20.35155010808569,0.013962765957446808,109
21,2,33,14,50,1184,4.0269338735935465,17.259076072011915,0.017736486486486486,110
21,2,34,11,51,1353,3.732018911159518,17.130956113814793,0.015521064301552107,111
21,5,35,12,50,1209,4.203952549513209,17.648796910341208,0.017369727047146403,112
21,1,34,12,51,1360,5.220870768896444,18.34139732153006,0.015441176470588236,113
21,3,32,15,52,1140,4.276444269935951,18.71242175243182,0.018421052631578946,114
21,4,31,5,46,1176,3.892754150133373,17.324701344936305,0.017857142857142856,115
21,0,37,13,52,1520,4.293619349057757,20.652803745320476,0.01381578947368421,116
21,0,27,3,50,1344,4.401223685197715,18.445639972616746,0.015625,117
21,0,30,12,51,1240,2.8453948171323016,18.159322416011854,0.016935483870967744,118
21,2,33,15,48,1088,4.193275219668284,16.48667300718487,0.019301470588235295,119
21,2,32,10,50,1271,4.172752898971719,18.30978495390696,0.016522423288749016,120
21,4,38,10,50,1435,4.1500556879112915,17.74710615726522,0.014634146341463415,121
21,0,37,11,49,1482,4.070289594127876,19.235113991056753,0.01417004048582996,122
21,0,34,9,50,1470,4.142321977221648,19.861489889108174,0.014285714285714285,123
21,0,33,12,47,1224,4.332677058069136,15.74081408142126,0.01715686274509804,124
21,1,37,6,50,1665,3.9889905832873387,20.039860646809018,0.012612612612612612,125
21,3,33,21,50,930,3.3753106104457196,16.376902666014484,0.02258064516129032,126
21,5,33,13,49,1073,4.036341608318354,17.07071193871735,0.0195712954333644,127
21,0,37,13,52,1520,4.15884948002976,19.508075973515943,0.01381578947368421,128
21,0,35,12,45,1224,4.305319469975635,18.365952815483343,0.01715686274509804,129
21,0,37,13,47,1330,4.807219479298215,18.5657692559848,0.015789473684210527,130
21,2,37,14,50,1332,4.776764688821065,17.72921042751972,0.015765765765765764,131
21,3,36,16,50,1190,3.576512415889344,17.215440297641578,0.01764705882352941,132
21,3,32,10,51,1260,3.941806648916957,18.78203945235323,0.016666666666666666,133
21,5,36,11,52,1344,4.3805894452407035,18.176953869064025,0.015625,134
21,3,36,0,49,1700,4.43416740977708,20.47443738141489,0.012352941176470587,135
21,2,36,16,51,1260,3.549460170240402,19.027900695959783,0.016666666666666666,136
21,3,37,18,51,1190,4.288281382980334,17.791652277914345,0.01764705882352941,137
21,0,35,2,51,1800,4.803400773965148,22.956037085796527,0.011666666666666667,138
21,6,36,14,49,1116,4.5781166937470985,16.49043629613192,0.01881720430107527,139
21,0,34,15,49,1225,4.302455871653246,17.19056335860981,0.017142857142857144,140
21,0,32,6,48,1419,4.510464039169218,17.403014944668556,0.014799154334038054,141
21,0,35,8,50,1548,4.6639242581123534,20.015244938847353,0.013565891472868217,142
21,1,36,7,52,1656,5.08506076510662,19.9052373438235,0.012681159420289856,143
21,1,37,21,48,1036,3.597188789054818,17.341681547658872,0.02027027027027027,144
21,2,37,6,45,1440,4.8995598517095456,18.80436013965259,0.014583333333333334,145
21,0,38,18,50,1287,3.909962574028074,18.272210953979798,0.016317016317016316,146
21,1,32,14,49,1152,3.7534865924502405,18.76102111976497,0.018229166666666668,147
21,0,36,11,49,1443,4.069864904568634,18.80515469355318,0.014553014553014554,148
21,1,34,3,42,1360,4.085017364474041,18.394095682876344,0.015441176470588236,149
21,5,36,5,49,1440,3.929617904256786,17.78549332829471,0.014583333333333334,150
21,8,36,12,51,1160,4.343289702648418,17.406798523270247,0.01810344827586207,151
21,0,31,5,52,1536,4.3991426704709555,20.078766278316337,0.013671875,152
21,0,36,7,50,1628,5.149890952714946,20.61228037840762,0.012899262899262898,153
21,3,36,17,48,1088,3.831010326627284,15.863887407791706,0.019301470588235295,154
21,3,37,15,52,1330,4.89029802520219,17.75505792504618,0.015789473684210527,155
21,1,37,13,50,1406,4.6763756276373245,19.69278590284144,0.014935988620199146,156
21,10,38,14,50,1073,3.800150299300345,17.832255025301546,0.0195712954333644,157
21,3,32,14,49,1080,3.749953519311318,16.93577157856627,0.019444444444444445,158
21,2,31,7,51,1350,4.641321076264387,18.394738162843137,0.015555555555555555,159
21,2,38,5,49,1665,4.812973665995551,19.191269593221715,0.012612612612612612,160
21,3,37,6,50,1575,4.7723036483933,19.340064721581882,0.013333333333333334,161
21,1,37,13,51,1443,3.8756594927626358,18.642035221506667,0.014553014553014554,162
21,1,37,5,45,1517,4.884128425501736,19.532269267839695,0.013843111404087014,163
21,0,36,15,52,1406,4.6551999539234465,19.000372712327064,0.014935988620199146,164
21,2,38,16,46,1147,3.586527900526601,17.09696547651384,0.018308631211857017,165
21,0,34,5,51,1645,3.8081179685322697,19.996368652010773,0.01276595744680851,166
21,0,33,19,52,1156,4.536143223870434,18.199488000083182,0.018166089965397925,167
21,1,34,12,49,1292,5.013663758308339,18.326639696661662,0.016253869969040248,168
21,2,36,5,50,1610,4.84638188004877,18.462805968685455,0.013043478260869565,169
21,0,33,5,52,1632,4.6861384865007425,20.276005818750683,0.012867647058823529,170
21,0,33,10,48,1326,4.655919962939733,19.174407091365406,0.01583710407239819,171
21,3,37,4,49,1610,5.356693940803757,19.011254668600206,0.013043478260869565,172
21,1,31,4,52,1519,4.967093726667043,20.064919335448927,0.013824884792626729,173
21,0,34,14,48,1225,5.193636737164599,18.61185683335772,0.017142857142857144,174
21,2,39,16,48,1254,4.430307894812391,19.024571441590957,0.01674641148325359,175
21,1,37,22,50,1073,4.1182277748545255,15.950079876381198,0.0195712954333644,176
21,0,34,7,46,1400,3.6581455164909906,18.748256009714762,0.015,177
21,1,36,8,47,1440,5.0012581133558935,18.074342719661256,0.014583333333333334,178
21,0,38,7,47,1599,4.667876103884501,19.750900490941856,0.013133208255159476,179
21,1,32,12,52,1312,4.7272056657129315,19.257167169140335,0.01600609756097561,180
21,2,34,10,50,1353,4.138964438897507,19.277029162292013,0.015521064301552107,181
21,9,38,12,51,1200,4.690310042297832,18.04740499192021,0.0175,182
21,1,36,7,52,1656,4.602266748472141,21.74591457896871,0.012681159420289856,183
21,0,36,15,49,1295,3.5459432058862475,19.5788968488255,0.016216216216216217,184
21,0,37,8,50,1634,4.520207984899652,21.342667881423022,0.012851897184822521,185
21,1,38,11,50,1520,5.214816656094507,19.710146822813932,0.01381578947368421,186
21,0,36,9,50,1554,4.4530008844444,22.06928778126436,0.013513513513513514,187
21,0,35,17,50,1224,3.6030489701699095,19.23493272232299,0.01715686274509804,188
21,0,37,11,51,1558,5.373615858343939,21.445985137372393,0.013478818998716302,189
21,0,34,12,51,1400,5.129198211272871,19.547464955150573,0.015,190
21,0,37,10,45,1368,4.365540864887885,18.407263676151544,0.015350877192982455,191
21,1,37,8,50,1591,4.8732054536485565,20.287545218207505,0.013199245757385292,192
21,3,37,4,48,1575,4.603900896445042,18.73899269140993,0.013333333333333334,193
21,2,37,9,51,1548,4.619583163204585,19.752848890219497,0.013565891472868217,194
21,5,30,6,52,1222,4.197522543770639,17.702247533543954,0.01718494271685761,195
21,1,32,18,47,960,4.439248368361942,16.224304989527447,0.021875,196
21,2,33,9,48,1280,4.315908263792225,18.98418467489182,0.01640625,197
21,2,37,19,51,1188,4.233915488204779,16.890441344354077,0.017676767676767676,198
21,3,36,5,50,1564,5.496821652930371,21.636584560093684,0.013427109974424553,199
21,0,37,11,50,1520,4.9950694078121405,19.49833157847183,0.01381578947368421,200
21,0,33,6,50,1530,5.182968345262234,21.522532852124748,0.013725490196078431,201
21,1,35,9,50,1470,4.47489960838416,18.42719462190867,0.014285714285714285,202
21,1,37,14,51,1406,4.251222700006994,18.402263180346267,0.014935988620199146,203
21,0,30,3,47,1395,5.274223101045708,17.80526207815569,0.015053763440860216,204
21,0,33,7,51,1530,5.742713310167766,19.24248724505258,0.013725490196078431,205
21,1,38,6,48,1634,4.07020168869564,20.10240427844896,0.012851897184822521,206
21,5,35,16,51,1116,3.5075597582379086,16.955107312905636,0.01881720430107527,207
21,6,32,5,49,1215,4.149263810892173,16.75666819404684,0.01728395061728395,208
21,1,35,13,49,1295,4.5906996855909465,18.98109746715857,0.016216216216216217,209
21,2,36,11,50,1400,3.6953511333424753,19.951776510841714,0.015,210
21,1,37,6,45,1480,4.841091863329751,18.625985033659493,0.01418918918918919,211
21,1,37,10,48,1443,3.949219744104162,20.20576140653311,0.014553014553014554,212
21,1,37,11,51,1517,4.096347408517898,21.04506244465633,0.013843111404087014,213
21,0,32,0,51,1716,5.433663690401653,19.84294611188838,0.012237762237762238,214
21,0,35,13,52,1440,4.334954469886069,20.203725754640505,0.014583333333333334,215
21,3,33,10,50,1271,3.6332400264946507,19.211990707281437,0.016522423288749016,216
21,2,39,13,48,1368,5.210713693577913,17.402611043202413,0.015350877192982455,217
21,1,36,6,45,1440,4.05590858615757,18.61071054822471,0.014583333333333334,218
21,0,36,16,48,1221,4.626148489145693,19.797903234877776,0.0171990171990172,219
21,2,34,5,50,1518,4.286907513494443,20.205749941913407,0.01383399209486166,220
21,2,37,16,45,1080,3.8407458999562882,17.252887298616983,0.019444444444444445,221
21,2,37,9,49,1476,4.4896953118667575,18.403412668714946,0.014227642276422764,222
21,5,34,12,49,1140,4.7510531967593765,16.048402412461243,0.018421052631578946,223
21,2,30,6,45,1160,4.606917666731483,17.057172491409684,0.01810344827586207,224
21,2,32,4,48,1395,4.160943819049374,17.931250922478082,0.015053763440860216,225
21,3,37,5,52,1680,4.7068774926668215,19.189776057481556,0.0125,226
21,3,37,13,45,1155,4.23218094943911,16.84482353568612,0.01818181818181818,227
21,0,37,4,46,1634,3.266580093595646,21.542163250007036,0.012851897184822521,228
21,2,38,6,51,1702,4.877042666467361,20.151065438638735,0.012338425381903642,229
21,1,36,7,49,1548,4.743224824457873,20.756984747852492,0.013565891472868217,230
21,1,36,16,49,1224,4.088528167468663,18.928226850301957,0.01715686274509804,231
21,0,36,1,49,1813,5.285473769341188,18.688261861188742,0.011583011583011582,232
21,0,35,6,49,1584,5.1238719713903205,20.65530642150067,0.013257575757575758,233
21,1,35,15,50,1260,3.796075193203602,16.49661839023972,0.016666666666666666,234
21,4,34,8,52,1395,4.322103750440943,18.640696192402114,0.015053763440860216,235
21,1,38,16,50,1330,4.342617643071536,20.462624793927723,0.015789473684210527,236
21,4,36,9,49,1353,4.246477446725426,19.47948763469921,0.015521064301552107,237
21,0,35,3,51,1764,5.860908989188266,18.99441847739421,0.011904761904761904,238
21,2,33,7,50,1408,5.341573292459526,18.638385219258733,0.014914772727272728,239
21,1,35,6,48,1505,5.142735378364769,19.100771936068575,0.013953488372093023,240
21,2,36,0,50,1785,4.522258092142154,21.95330377658273,0.011764705882352941,241
21,1,37,20,49,1110,4.619904840295731,17.044067734382526,0.01891891891891892,242
21,2,36,12,49,1330,3.866198847729843,17.813030373842924,0.015789473684210527,243
21,1,35,5,49,1575,5.147919660170565,18.010727106253384,0.013333333333333334,244
21,0,39,5,48,1760,4.58934343932646,19.946670589763123,0.011931818181818182,245
21,0,35,8,45,1368,4.196854039947244,17.38270360299196,0.015350877192982455,246
21,4,33,19,46,840,3.9807766289663795,13.920149935343359,0.025,247
21,6,37,9,52,1408,3.8487088841655583,18.901012358266314,0.014914772727272728,248
21,3,36,6,42,1258,3.878076614893925,16.20968537213099,0.016693163751987282,249
21,2,36,5,51,1645,3.8275481604685444,21.137940743382373,0.01276595744680851,250
21,0,31,0,50,1632,4.296069138755512,19.48237631379279,0.012867647058823529,251
21,0,37,7,44,1444,4.983969519654959,18.56477179179007,0.014542936288088643,252
21,1,37,20,51,1184,4.278750966332223,17.744775491991224,0.017736486486486486,253
21,2,37,19,51,1188,3.6486057233658338,17.580342786375027,0.017676767676767676,254
21,0,36,4,47,1628,5.530859051309171,20.993557299686262,0.012899262899262898,255
21,5,29,18,46,725,3.5103396468193915,13.937094890610616,0.028965517241379312,256
21,0,33,3,52,1700,4.478814732146759,20.63676331106043,0.012352941176470587,257
21,0,35,4,48,1620,5.048075427027217,21.763201032322545,0.012962962962962963,258
21,7,32,20,52,858,3.0902929868821203,16.10182242439006,0.024475524475524476,259
21,0,36,0,46,1739,3.987758810432807,21.419110344845983,0.012075905692926969,260
21,0,33,5,47,1462,4.807654955148872,19.402813599061293,0.014363885088919288,261
21,0,37,0,47,1824,5.264119644929949,20.979762685513442,0.011513157894736841,262
21,0,37,6,50,1710,4.172429458813365,19.998503181871342,0.012280701754385965,263
21,0,34,7,47,1435,4.588443950757717,18.396062042092574,0.014634146341463415,264
21,1,31,12,49,1178,3.1285057585636316,18.192632244784864,0.017826825127334467,265
21,0,31,0,52,1696,5.067160631192055,20.2328536131118,0.012382075471698114,266
21,2,34,20,50,1023,3.750069198999494,15.60332208325863,0.020527859237536656,267
21,2,35,14,52,1326,4.7292893316288,18.717850793726935,0.01583710407239819,268
21,2,37,5,45,1476,3.9160091856169124,18.12507058821162,0.014227642276422764,269
21,1,36,3,52,1800,5.336902563490024,20.392135933568095,0.011666666666666667,270
21,2,36,19,48,1050,3.836804093551341,16.86877312054673,0.02,271
21,1,25,18,47,750,3.3882708389416183,15.347210681174909,0.028,272
21,3,37,13,51,1365,4.564544912213419,18.761947763642972,0.015384615384615385,273
21,0,37,10,50,1558,3.927952257235888,21.426524160853024,0.013478818998716302,274
21,1,30,7,52,1380,4.362234791429927,18.15706333540054,0.015217391304347827,275
21,3,35,19,52,1122,4.505949472863652,16.816550737938503,0.01871657754010695,276
21,3,37,6,44,1365,4.259267993183288,20.104561239853467,0.015384615384615385,277
21,0,37,12,48,1406,4.416696610564543,17.29794574139633,0.014935988620199146,278
21,1,36,5,51,1692,4.527659520369583,20.28534848652204,0.012411347517730497,279
21,2,38,5,49,1665,4.971189014369993,20.766791062751032,0.012612612612612612,280
21,1,33,6,52,1551,4.735575372334805,20.997028701621005,0.013539651837524178,281
21,4,35,13,47,1120,4.3599006940954705,17.087500411004388,0.01875,282
21,2,36,19,44,910,3.932694359731477,14.623412368059093,0.023076923076923078,283
21,1,36,20,51,1152,3.9254935328069216,17.654440836673576,0.018229166666666668,284
21,2,37,7,50,1584,5.8989940258716285,21.563547105399802,0.013257575757575758,285
21,1,36,6,52,1692,4.673329676604783,20.949304066011344,0.012411347517730497,286
21,0,36,5,48,1628,5.813643176916827,20.485716359395354,0.012899262899262898,287
21,3,36,10,49,1360,4.8510240141448815,19.55136150094197,0.015441176470588236,288
21,6,38,11,50,1320,4.969036861312541,17.756502650404315,0.015909090909090907,289
21,1,31,11,52,1302,3.5188904181457485,18.89356708602196,0.016129032258064516,290
21,0,37,6,40,1330,4.6620468150905925,19.734977857268458,0.015789473684210527,291
21,0,37,1,48,1824,4.751381951039001,21.761838153950187,0.011513157894736841,292
21,0,34,4,51,1680,4.891955413744307,22.159247350285494,0.0125,293
21,0,36,9,44,1332,3.8190222000892335,19.11577838032886,0.015765765765765764,294
21,0,29,19,47,870,3.5231635104818277,15.740666286074624,0.02413793103448276,295
21,2,29,14,51,1064,3.4917220629827663,17.379136060536823,0.019736842105263157,296
21,1,38,12,49,1444,4.162510251427456,19.72508673064162,0.014542936288088643,297
21,1,36,11,45,1260,3.4676041822004517,18.063657117602318,0.016666666666666666,298
21,4,36,5,50,1518,3.88089978212984,17.583116998998207,0.01383399209486166,299
21,4,37,13,52,1360,4.587077294267,20.502212548673604,0.015441176470588236,300
21,4,35,12,51,1280,3.5405725535728316,18.152700759685352,0.01640625,301
21,2,35,23,51,986,3.7803207161583208,17.38755467360112,0.02129817444219067,302
21,0,36,4,51,1776,4.815884000708674,19.147643439726146,0.011824324324324325,303
21,0,33,10,51,1428,4.128998970635707,18.483979063264083,0.014705882352941176,304
21,2,37,11,45,1260,4.98784197891945,19.067971290178185,0.016666666666666666,305
21,0,37,13,49,1406,5.2093496019725665,20.690884647737846,0.014935988620199146,306
21,1,35,6,47,1470,4.377988752316703,19.318635454089524,0.014285714285714285,307
21,2,36,20,51,1120,4.033827356523766,16.811252007084203,0.01875,308
21,4,35,20,51,1024,3.4697226518426367,15.464020642830903,0.0205078125,309
21,0,26,7,48,1134,3.9051907688072216,17.05192743345703,0.018518518518518517,310
21,3,32,14,49,1080,4.605125888034844,18.588188040072595,0.019444444444444445,311
21,0,36,10,51,1554,3.8196829299171577,19.24573537276901,0.013513513513513514,312
21,0,34,10,47,1330,3.5316233567848734,20.115425830410512,0.015789473684210527,313
21,0,34,18,48,1085,4.375914475641345,17.713846411444955,0.01935483870967742,314
21,0,36,0,51,1924,4.12490600507551,20.422999598486776,0.010914760914760915,315
21,0,34,6,44,1365,4.762680441216183,18.37258805825996,0.015384615384615385,316
21,1,37,4,51,1776,4.464161989306892,23.963357179166596,0.011824324324324325,317
21,0,35,3,51,1764,4.0462958165251495,18.323211564595937,0.011904761904761904,318
21,3,38,8,48,1476,4.709977322159459,19.30302642744183,0.014227642276422764,319
21,4,37,8,41,1156,4.216689559818639,16.850515854257097,0.018166089965397925,320
21,1,39,8,47,1560,4.85529666247955,16.24594839189214,0.013461538461538462,321
21,0,35,10,47,1368,4.412337581015163,17.746311540652545,0.015350877192982455,322
21,0,36,7,44,1406,5.034536181316696,17.92565342183128,0.014935988620199146,323
21,1,36,7,46,1440,4.930348706889155,17.979430573374444,0.014583333333333334,324
21,0,35,0,48,1764,4.41398969344247,21.74623308832951,0.011904761904761904,325
21,0,36,3,49,1739,5.218697172789787,19.666184328719723,0.012075905692926969,326
21,6,34,13,52,1160,3.9992277791326347,16.299418102003703,0.01810344827586207,327
21,0,35,12,49,1368,4.038235029685843,19.236381181703173,0.015350877192982455,328
21,0,38,18,50,1287,4.354125826202975,18.2234177734595,0.016317016317016316,329
21,2,37,12,51,1440,5.2673836484229275,18.866326525034026,0.014583333333333334,330
21,4,33,11,51,1230,4.550455460236432,16.82883006124408,0.01707317073170732,331
21,2,35,5,47,1462,4.232247912267302,19.66474965012598,0.014363885088919288,332
21,0,36,3,45,1591,5.263909696514613,20.283907337660345,0.013199245757385292,333
21,0,39,10,51,1680,4.570301146002524,19.241743364550576,0.0125,334
21,4,34,14,50,1147,4.10359317721268,18.185074406911056,0.018308631211857017,335
21,3,36,15,52,1292,4.078004535595532,16.269350015072497,0.016253869969040248,336
21,7,37,19,49,961,4.024644625839446,13.93459357829748,0.021852237252861603,337
21,1,35,9,46,1330,4.641412616386171,19.149550946849136,0.015789473684210527,338
21,0,36,6,52,1739,4.554759886811651,22.142113048639587,0.012075905692926969,339
21,0,32,4,50,1551,4.499313617400704,19.71189755120248,0.013539651837524178,340
21,1,35,10,52,1505,3.1361863738197204,20.352516919515523,0.013953488372093023,341
21,0,36,6,43,1406,4.753443010163801,20.046399180448688,0.014935988620199146,342
21,1,37,5,41,1369,4.036927131544125,18.590852860715074,0.015339663988312637,343
21,6,32,12,52,1107,3.388331813623531,15.240325116766282,0.018970189701897018,344
21,1,34,17,48,1088,3.862793095614926,16.700638208512544,0.019301470588235295,345
21,0,36,6,47,1554,4.920990397853773,20.264868517231907,0.013513513513513514,346
21,1,36,0,45,1656,4.74293727151337,20.50516354088737,0.012681159420289856,347
